maṇḍala,sūkta,ṛca,m-s-r,m-s,ṛṣi,devatā,chandaḥ
1,1,1,1-1-1,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,2,1-1-2,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,3,1-1-3,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,4,1-1-4,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,5,1-1-5,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,6,1-1-6,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,7,1-1-7,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,8,1-1-8,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,9,1-1-9,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,2,1,1-2-1,1 - 2,madhucchandāḥ vaiśvāmitraḥ,vāyuḥ,gāyatrī
1,2,2,1-2-2,1 - 2,madhucchandāḥ vaiśvāmitraḥ,vāyuḥ,gāyatrī
1,2,3,1-2-3,1 - 2,madhucchandāḥ vaiśvāmitraḥ,vāyuḥ,gāyatrī
1,2,4,1-2-4,1 - 2,madhucchandāḥ vaiśvāmitraḥ,indravāyū,gāyatrī
1,2,5,1-2-5,1 - 2,madhucchandāḥ vaiśvāmitraḥ,indravāyū,gāyatrī
1,2,6,1-2-6,1 - 2,madhucchandāḥ vaiśvāmitraḥ,indravāyū,gāyatrī
1,2,7,1-2-7,1 - 2,madhucchandāḥ vaiśvāmitraḥ,mitrāvaruṇo,gāyatrī
1,2,8,1-2-8,1 - 2,madhucchandāḥ vaiśvāmitraḥ,mitrāvaruṇo,gāyatrī
1,2,9,1-2-9,1 - 2,madhucchandāḥ vaiśvāmitraḥ,mitrāvaruṇo,gāyatrī
1,3,1,1-3-1,1 - 3,madhucchandāḥ vaiśvāmitraḥ,aśvino,gāyatrī
1,3,2,1-3-2,1 - 3,madhucchandāḥ vaiśvāmitraḥ,aśvino,gāyatrī
1,3,3,1-3-3,1 - 3,madhucchandāḥ vaiśvāmitraḥ,aśvino,gāyatrī
1,3,4,1-3-4,1 - 3,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,3,5,1-3-5,1 - 3,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,3,6,1-3-6,1 - 3,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,3,7,1-3-7,1 - 3,madhucchandāḥ vaiśvāmitraḥ,viśvedevāḥ,gāyatrī
1,3,8,1-3-8,1 - 3,madhucchandāḥ vaiśvāmitraḥ,viśvedevāḥ,gāyatrī
1,3,9,1-3-9,1 - 3,madhucchandāḥ vaiśvāmitraḥ,viśvedevāḥ,gāyatrī
1,3,10,1-3-10,1 - 3,madhucchandāḥ vaiśvāmitraḥ,sarasvatī,gāyatrī
1,3,11,1-3-11,1 - 3,madhucchandāḥ vaiśvāmitraḥ,sarasvatī,gāyatrī
1,3,12,1-3-12,1 - 3,madhucchandāḥ vaiśvāmitraḥ,sarasvatī,gāyatrī
1,4,1,1-4-1,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,2,1-4-2,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,3,1-4-3,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,4,1-4-4,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,5,1-4-5,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,6,1-4-6,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,7,1-4-7,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,8,1-4-8,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,9,1-4-9,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,10,1-4-10,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,5,1,1-5-1,1 - 5,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,5,2,1-5-2,1 - 5,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,5,3,1-5-3,1 - 5,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,5,4,1-5-4,1 - 5,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,5,5,1-5-5,1 - 5,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,5,6,1-5-6,1 - 5,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,5,7,1-5-7,1 - 5,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,5,8,1-5-8,1 - 5,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,5,9,1-5-9,1 - 5,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,5,10,1-5-10,1 - 5,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,6,1,1-6-1,1 - 6,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,6,2,1-6-2,1 - 6,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,6,3,1-6-3,1 - 6,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,6,4,1-6-4,1 - 6,madhucchandāḥ vaiśvāmitraḥ,marutaḥ,gāyatrī
1,6,5,1-6-5,1 - 6,madhucchandāḥ vaiśvāmitraḥ,marutaḥ indraḥ ca,gāyatrī
1,6,6,1-6-6,1 - 6,madhucchandāḥ vaiśvāmitraḥ,marutaḥ,gāyatrī
1,6,7,1-6-7,1 - 6,madhucchandāḥ vaiśvāmitraḥ,marutaḥ indraḥ ca,gāyatrī
1,6,8,1-6-8,1 - 6,madhucchandāḥ vaiśvāmitraḥ,marutaḥ,gāyatrī
1,6,9,1-6-9,1 - 6,madhucchandāḥ vaiśvāmitraḥ,marutaḥ,gāyatrī
1,6,10,1-6-10,1 - 6,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,7,1,1-7-1,1 - 7,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,7,2,1-7-2,1 - 7,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,7,3,1-7-3,1 - 7,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,7,4,1-7-4,1 - 7,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,7,5,1-7-5,1 - 7,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,7,6,1-7-6,1 - 7,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,7,7,1-7-7,1 - 7,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,7,8,1-7-8,1 - 7,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,7,9,1-7-9,1 - 7,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,7,10,1-7-10,1 - 7,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,8,1,1-8-1,1 - 8,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,8,2,1-8-2,1 - 8,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,8,3,1-8-3,1 - 8,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,8,4,1-8-4,1 - 8,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,8,5,1-8-5,1 - 8,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,8,6,1-8-6,1 - 8,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,8,7,1-8-7,1 - 8,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,8,8,1-8-8,1 - 8,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,8,9,1-8-9,1 - 8,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,8,10,1-8-10,1 - 8,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,9,1,1-9-1,1 - 9,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,9,2,1-9-2,1 - 9,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,9,3,1-9-3,1 - 9,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,9,4,1-9-4,1 - 9,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,9,5,1-9-5,1 - 9,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,9,6,1-9-6,1 - 9,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,9,7,1-9-7,1 - 9,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,9,8,1-9-8,1 - 9,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,9,9,1-9-9,1 - 9,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,9,10,1-9-10,1 - 9,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,10,1,1-10-1,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,2,1-10-2,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,3,1-10-3,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,4,1-10-4,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,5,1-10-5,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,6,1-10-6,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,7,1-10-7,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,8,1-10-8,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,9,1-10-9,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,10,1-10-10,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,11,1-10-11,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,10,12,1-10-12,1 - 10,madhucchandāḥ vaiśvāmitraḥ,indraḥ,anuṣṭubh
1,11,1,1-11-1,1 - 11,jetā mādhucchasaḥ,indraḥ,anuṣṭubh
1,11,2,1-11-2,1 - 11,jetā mādhucchasaḥ,indraḥ,anuṣṭubh
1,11,3,1-11-3,1 - 11,jetā mādhucchasaḥ,indraḥ,anuṣṭubh
1,11,4,1-11-4,1 - 11,jetā mādhucchasaḥ,indraḥ,anuṣṭubh
1,11,5,1-11-5,1 - 11,jetā mādhucchasaḥ,indraḥ,anuṣṭubh
1,11,6,1-11-6,1 - 11,jetā mādhucchasaḥ,indraḥ,anuṣṭubh
1,11,7,1-11-7,1 - 11,jetā mādhucchasaḥ,indraḥ,anuṣṭubh
1,11,8,1-11-8,1 - 11,jetā mādhucchasaḥ,indraḥ,anuṣṭubh
1,12,1,1-12-1,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,2,1-12-2,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,3,1-12-3,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,4,1-12-4,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,5,1-12-5,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,6,1-12-6,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,7,1-12-7,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,8,1-12-8,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,9,1-12-9,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,10,1-12-10,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,11,1-12-11,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,12,12,1-12-12,1 - 12,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,13,1,1-13-1,1 - 13,medhātithiḥ kāṇvaḥ,idhmaḥ samiddhaḥ vā agniḥ,gāyatrī
1,13,2,1-13-2,1 - 13,medhātithiḥ kāṇvaḥ,tanūnapāt,gāyatrī
1,13,3,1-13-3,1 - 13,medhātithiḥ kāṇvaḥ,narāśaṁsaḥ,gāyatrī
1,13,4,1-13-4,1 - 13,medhātithiḥ kāṇvaḥ,iḷaḥ,gāyatrī
1,13,5,1-13-5,1 - 13,medhātithiḥ kāṇvaḥ,barhiḥ,gāyatrī
1,13,6,1-13-6,1 - 13,medhātithiḥ kāṇvaḥ,devīrdvāraḥ,gāyatrī
1,13,7,1-13-7,1 - 13,medhātithiḥ kāṇvaḥ,uṣāsānattkā,gāyatrī
1,13,8,1-13-8,1 - 13,medhātithiḥ kāṇvaḥ,daivyau hotārau pracetasau,gāyatrī
1,13,9,1-13-9,1 - 13,medhātithiḥ kāṇvaḥ,tisraḥ devyaḥ sarasvatīḷābhāratyaḥ,gāyatrī
1,13,10,1-13-10,1 - 13,medhātithiḥ kāṇvaḥ,tvaṣṭā,gāyatrī
1,13,11,1-13-11,1 - 13,medhātithiḥ kāṇvaḥ,vanaspatiḥ,gāyatrī
1,13,12,1-13-12,1 - 13,medhātithiḥ kāṇvaḥ,svāhākṛtayaḥ,gāyatrī
1,14,1,1-14-1,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,2,1-14-2,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,3,1-14-3,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,4,1-14-4,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,5,1-14-5,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,6,1-14-6,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,7,1-14-7,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,8,1-14-8,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,9,1-14-9,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,10,1-14-10,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,11,1-14-11,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,14,12,1-14-12,1 - 14,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,15,1,1-15-1,1 - 15,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,15,2,1-15-2,1 - 15,medhātithiḥ kāṇvaḥ,marutaḥ,gāyatrī
1,15,3,1-15-3,1 - 15,medhātithiḥ kāṇvaḥ,tvaṣṭā,gāyatrī
1,15,4,1-15-4,1 - 15,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,15,5,1-15-5,1 - 15,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,15,6,1-15-6,1 - 15,medhātithiḥ kāṇvaḥ,mitrāvaruṇo,gāyatrī
1,15,7,1-15-7,1 - 15,medhātithiḥ kāṇvaḥ,draviṇodāḥ,gāyatrī
1,15,8,1-15-8,1 - 15,medhātithiḥ kāṇvaḥ,draviṇodāḥ,gāyatrī
1,15,9,1-15-9,1 - 15,medhātithiḥ kāṇvaḥ,draviṇodāḥ,gāyatrī
1,15,10,1-15-10,1 - 15,medhātithiḥ kāṇvaḥ,draviṇodāḥ,gāyatrī
1,15,11,1-15-11,1 - 15,medhātithiḥ kāṇvaḥ,aśvino,gāyatrī
1,15,12,1-15-12,1 - 15,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,16,1,1-16-1,1 - 16,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,16,2,1-16-2,1 - 16,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,16,3,1-16-3,1 - 16,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,16,4,1-16-4,1 - 16,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,16,5,1-16-5,1 - 16,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,16,6,1-16-6,1 - 16,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,16,7,1-16-7,1 - 16,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,16,8,1-16-8,1 - 16,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,16,9,1-16-9,1 - 16,medhātithiḥ kāṇvaḥ,indraḥ,gāyatrī
1,17,1,1-17-1,1 - 17,medhātithiḥ kāṇvaḥ,indrāvaruṇo,gāyatrī
1,17,2,1-17-2,1 - 17,medhātithiḥ kāṇvaḥ,indrāvaruṇo,gāyatrī
1,17,3,1-17-3,1 - 17,medhātithiḥ kāṇvaḥ,indrāvaruṇo,gāyatrī
1,17,4,1-17-4,1 - 17,medhātithiḥ kāṇvaḥ,indrāvaruṇo,pādanicṛt
1,17,5,1-17-5,1 - 17,medhātithiḥ kāṇvaḥ,indrāvaruṇo,pādanicṛt
1,17,6,1-17-6,1 - 17,medhātithiḥ kāṇvaḥ,indrāvaruṇo,gāyatrī
1,17,7,1-17-7,1 - 17,medhātithiḥ kāṇvaḥ,indrāvaruṇo,gāyatrī
1,17,8,1-17-8,1 - 17,medhātithiḥ kāṇvaḥ,indrāvaruṇo,gāyatrī
1,17,9,1-17-9,1 - 17,medhātithiḥ kāṇvaḥ,indrāvaruṇo,gāyatrī
1,18,1,1-18-1,1 - 18,medhātithiḥ kāṇvaḥ,brahmāṇaspatiḥ,gāyatrī
1,18,2,1-18-2,1 - 18,medhātithiḥ kāṇvaḥ,brahmāṇaspatiḥ,gāyatrī
1,18,3,1-18-3,1 - 18,medhātithiḥ kāṇvaḥ,brahmāṇaspatiḥ,gāyatrī
1,18,4,1-18-4,1 - 18,medhātithiḥ kāṇvaḥ,brahmāṇaspatiḥ indraḥ somaḥ ca,gāyatrī
1,18,5,1-18-5,1 - 18,medhātithiḥ kāṇvaḥ,brahmāṇaspatiḥ dakṣiṇā indraḥ somaḥ ca,gāyatrī
1,18,6,1-18-6,1 - 18,medhātithiḥ kāṇvaḥ,sadaspatiḥ,gāyatrī
1,18,7,1-18-7,1 - 18,medhātithiḥ kāṇvaḥ,sadaspatiḥ,gāyatrī
1,18,8,1-18-8,1 - 18,medhātithiḥ kāṇvaḥ,sadaspatiḥ,gāyatrī
1,18,9,1-18-9,1 - 18,medhātithiḥ kāṇvaḥ,sadaspatiḥ narāśaṁsaḥ vā,gāyatrī
1,19,1,1-19-1,1 - 19,medhātithiḥ kāṇvaḥ,agniḥ marutaḥ ca,gāyatrī
1,19,2,1-19-2,1 - 19,medhātithiḥ kāṇvaḥ,agniḥ marutaḥ ca,gāyatrī
1,19,3,1-19-3,1 - 19,medhātithiḥ kāṇvaḥ,agniḥ marutaḥ ca,gāyatrī
1,19,4,1-19-4,1 - 19,medhātithiḥ kāṇvaḥ,agniḥ marutaḥ ca,gāyatrī
1,19,5,1-19-5,1 - 19,medhātithiḥ kāṇvaḥ,agniḥ marutaḥ ca,gāyatrī
1,19,6,1-19-6,1 - 19,medhātithiḥ kāṇvaḥ,agniḥ marutaḥ ca,gāyatrī
1,19,7,1-19-7,1 - 19,medhātithiḥ kāṇvaḥ,agniḥ marutaḥ ca,gāyatrī
1,19,8,1-19-8,1 - 19,medhātithiḥ kāṇvaḥ,agniḥ marutaḥ ca,gāyatrī
1,19,9,1-19-9,1 - 19,medhātithiḥ kāṇvaḥ,agniḥ marutaḥ ca,gāyatrī
1,20,1,1-20-1,1 - 20,medhātithiḥ kāṇvaḥ,ṛbhavaḥ,gāyatrī
1,20,2,1-20-2,1 - 20,medhātithiḥ kāṇvaḥ,ṛbhavaḥ,gāyatrī
1,20,3,1-20-3,1 - 20,medhātithiḥ kāṇvaḥ,ṛbhavaḥ,gāyatrī
1,20,4,1-20-4,1 - 20,medhātithiḥ kāṇvaḥ,ṛbhavaḥ,gāyatrī
1,20,5,1-20-5,1 - 20,medhātithiḥ kāṇvaḥ,ṛbhavaḥ,gāyatrī
1,20,6,1-20-6,1 - 20,medhātithiḥ kāṇvaḥ,ṛbhavaḥ,gāyatrī
1,20,7,1-20-7,1 - 20,medhātithiḥ kāṇvaḥ,ṛbhavaḥ,gāyatrī
1,20,8,1-20-8,1 - 20,medhātithiḥ kāṇvaḥ,ṛbhavaḥ,gāyatrī
1,21,1,1-21-1,1 - 21,medhātithiḥ kāṇvaḥ,indrāgnī,gāyatrī
1,21,2,1-21-2,1 - 21,medhātithiḥ kāṇvaḥ,indrāgnī,gāyatrī
1,21,3,1-21-3,1 - 21,medhātithiḥ kāṇvaḥ,indrāgnī,gāyatrī
1,21,4,1-21-4,1 - 21,medhātithiḥ kāṇvaḥ,indrāgnī,gāyatrī
1,21,5,1-21-5,1 - 21,medhātithiḥ kāṇvaḥ,indrāgnī,gāyatrī
1,21,6,1-21-6,1 - 21,medhātithiḥ kāṇvaḥ,indrāgnī,gāyatrī
1,22,1,1-22-1,1 - 22,medhātithiḥ kāṇvaḥ,aśvino,gāyatrī
1,22,2,1-22-2,1 - 22,medhātithiḥ kāṇvaḥ,aśvino,gāyatrī
1,22,3,1-22-3,1 - 22,medhātithiḥ kāṇvaḥ,aśvino,gāyatrī
1,22,4,1-22-4,1 - 22,medhātithiḥ kāṇvaḥ,aśvino,gāyatrī
1,22,5,1-22-5,1 - 22,medhātithiḥ kāṇvaḥ,savitā,gāyatrī
1,22,6,1-22-6,1 - 22,medhātithiḥ kāṇvaḥ,savitā,gāyatrī
1,22,7,1-22-7,1 - 22,medhātithiḥ kāṇvaḥ,savitā,gāyatrī
1,22,8,1-22-8,1 - 22,medhātithiḥ kāṇvaḥ,savitā,gāyatrī
1,22,9,1-22-9,1 - 22,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,22,10,1-22-10,1 - 22,medhātithiḥ kāṇvaḥ,agniḥ,gāyatrī
1,22,11,1-22-11,1 - 22,medhātithiḥ kāṇvaḥ,devasambandhinyaḥ devyaḥ,gāyatrī
1,22,12,1-22-12,1 - 22,medhātithiḥ kāṇvaḥ,indrāṇī varuṇānyagnāyyaḥ,gāyatrī
1,22,13,1-22-13,1 - 22,medhātithiḥ kāṇvaḥ,dyāvāpṛthivī,gāyatrī
1,22,14,1-22-14,1 - 22,medhātithiḥ kāṇvaḥ,dyāvāpṛthivī,gāyatrī
1,22,15,1-22-15,1 - 22,medhātithiḥ kāṇvaḥ,pṛthivī,gāyatrī
1,22,16,1-22-16,1 - 22,medhātithiḥ kāṇvaḥ,viṣṇuḥ,gāyatrī
1,22,17,1-22-17,1 - 22,medhātithiḥ kāṇvaḥ,viṣṇuḥ,gāyatrī
1,22,18,1-22-18,1 - 22,medhātithiḥ kāṇvaḥ,viṣṇuḥ,gāyatrī
1,22,19,1-22-19,1 - 22,medhātithiḥ kāṇvaḥ,viṣṇuḥ,gāyatrī
1,22,20,1-22-20,1 - 22,medhātithiḥ kāṇvaḥ,viṣṇuḥ,gāyatrī
1,22,21,1-22-21,1 - 22,medhātithiḥ kāṇvaḥ,viṣṇuḥ,gāyatrī
1,23,1,1-23-1,1 - 23,medhātithiḥ kāṇvaḥ,vāyuḥ,gāyatrī
1,23,2,1-23-2,1 - 23,medhātithiḥ kāṇvaḥ,indravāyū,gāyatrī
1,23,3,1-23-3,1 - 23,medhātithiḥ kāṇvaḥ,indravāyū,gāyatrī
1,23,4,1-23-4,1 - 23,medhātithiḥ kāṇvaḥ,mitrāvaruṇo,gāyatrī
1,23,5,1-23-5,1 - 23,medhātithiḥ kāṇvaḥ,mitrāvaruṇo,gāyatrī
1,23,6,1-23-6,1 - 23,medhātithiḥ kāṇvaḥ,mitrāvaruṇo,gāyatrī
1,23,7,1-23-7,1 - 23,medhātithiḥ kāṇvaḥ,indraḥ marutvān,gāyatrī
1,23,8,1-23-8,1 - 23,medhātithiḥ kāṇvaḥ,indraḥ marutvān,gāyatrī
1,23,9,1-23-9,1 - 23,medhātithiḥ kāṇvaḥ,indraḥ marutvān,gāyatrī
1,23,10,1-23-10,1 - 23,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,23,11,1-23-11,1 - 23,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,23,12,1-23-12,1 - 23,medhātithiḥ kāṇvaḥ,viśvedevāḥ,gāyatrī
1,23,13,1-23-13,1 - 23,medhātithiḥ kāṇvaḥ,pūṣā,gāyatrī
1,23,14,1-23-14,1 - 23,medhātithiḥ kāṇvaḥ,pūṣā,gāyatrī
1,23,15,1-23-15,1 - 23,medhātithiḥ kāṇvaḥ,pūṣā,gāyatrī
1,23,16,1-23-16,1 - 23,medhātithiḥ kāṇvaḥ,āpaḥ,gāyatrī
1,23,17,1-23-17,1 - 23,medhātithiḥ kāṇvaḥ,āpaḥ,gāyatrī
1,23,18,1-23-18,1 - 23,medhātithiḥ kāṇvaḥ,āpaḥ,gāyatrī
1,23,19,1-23-19,1 - 23,medhātithiḥ kāṇvaḥ,āpaḥ,purauṣṇik
1,23,20,1-23-20,1 - 23,medhātithiḥ kāṇvaḥ,āpaḥ,anuṣṭubh
1,23,21,1-23-21,1 - 23,medhātithiḥ kāṇvaḥ,āpaḥ,pratiṣṭhā (gāyatrī)
1,23,22,1-23-22,1 - 23,medhātithiḥ kāṇvaḥ,āpaḥ,anuṣṭubh
1,23,23,1-23-23,1 - 23,medhātithiḥ kāṇvaḥ,āpaḥ,anuṣṭubh
1,23,24,1-23-24,1 - 23,medhātithiḥ kāṇvaḥ,agniḥ,anuṣṭubh
1,24,1,1-24-1,1 - 24,śunaḥśepaḥ ājīgartiḥ,prajāpatiḥ,triṣṭubh
1,24,2,1-24-2,1 - 24,śunaḥśepaḥ ājīgartiḥ,agniḥ,triṣṭubh
1,24,3,1-24-3,1 - 24,śunaḥśepaḥ ājīgartiḥ,savitā,gāyatrī
1,24,4,1-24-4,1 - 24,śunaḥśepaḥ ājīgartiḥ,savitā,gāyatrī
1,24,5,1-24-5,1 - 24,śunaḥśepaḥ ājīgartiḥ,savitā bhagaḥ vā,gāyatrī
1,24,6,1-24-6,1 - 24,śunaḥśepaḥ ājīgartiḥ,varuṇaḥ,triṣṭubh
1,24,7,1-24-7,1 - 24,śunaḥśepaḥ ājīgartiḥ,varuṇaḥ,triṣṭubh
1,24,8,1-24-8,1 - 24,śunaḥśepaḥ ājīgartiḥ,varuṇaḥ,triṣṭubh
1,24,9,1-24-9,1 - 24,śunaḥśepaḥ ājīgartiḥ,varuṇaḥ,triṣṭubh
1,24,10,1-24-10,1 - 24,śunaḥśepaḥ ājīgartiḥ,varuṇaḥ,triṣṭubh
